word,meaning,part_of_speech,examples,meaning_vi,phonetic
e,"
+) a fat-soluble vitamin that is essential for normal reproduction; an important antioxidant that neutralizes free radicals in the body
+) a radioactive transuranic element produced by bombarding plutonium with neutrons
+) the cardinal compass point that is at 90 degrees",n,"
+) ","+) thuốc nhỏ tai
+) (Tech) e (cơ số đối số/lôgarít tự nhiên)
+) e (cơ số của lôga tự nhiên)",vitamin_E
thread,"
+) a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving
+) any long object resembling a thin line
+) the connections that link the various parts of an event or argument together","v, n","
+) a mere ribbon of land
+) the lighted ribbon of traffic
+) from the air the road was a grey thread","+) chỉ, sợi chỉ, sợi dây
+) (nghĩa bóng) dòng, mạch
+) đường ren
+) (địa lý,địa chất) mạch nhỏ (quặng)
+) ướt sạch, ướt như chuột lột",thread
process,"
+) a particular course of action intended to achieve a result
+) (psychology) the performance of some composite cognitive activity; an operation that affects mental contents
+) a writ issued by authority of law; usually compels the defendant's attendance in a civil suit; failure to appear results in a default judgment against the defendant","v, n","
+) the procedure of obtaining a driver's license
+) it was a process of trial and error
+) the process of thinking","+) quá trình, sự tiến triển
+) sự tiến hành
+) phương pháp, cách thức (sản xuất, chế biến)
+) (pháp lý) việc tố tụng; trát đòi, lệnh gọi của toà án
+) (sinh vật học) u lồi, bướu (ở cây cối, thân súc vật)",procedure
multithreaded,,,,,
operating,"
+) direct or control; projects, businesses, etc.
+) perform as expected when applied
+) handle and cause to function","s, v, a","
+) She is running a relief operation in the Sudan
+) The washing machine won't go unless it's plugged in
+) Does this old car still run well?",,operate
chapter,"
+) a subdivision of a written work; usually numbered and titled
+) any distinct period in history or in a person's life
+) a local branch of some fraternity or association",n,"
+) he read a chapter every night before falling asleep
+) the industrial revolution opened a new chapter in British history
+) the divorce was an ugly chapter in their relationship","+) chương (sách)
+) đề tài, vấn đề
+) (tôn giáo) tăng hội
+) (xem) accident
+) đến cùng; mãi mãi",chapter
explore,"
+) inquire into
+) travel to or penetrate into
+) examine minutely",v,"
+) the students had to research the history of the Second World War for their history project
+) He searched for information on his relatives on the web
+) Scientists are exploring the nature of consciousness","+) thăm dò, thám hiểm
+) (y học) thông dò
+) khảo sát tỉ mỉ
+) thám hiểm, nghiên cứu",research
control,"
+) power to direct or determine
+) a relation of constraint of one entity (thing or person or group) by another
+) (physiology) regulation or maintenance of a function or action or reflex etc","v, n","
+) under control
+) measures for the control of disease
+) they instituted controls over drinking on campus","+) quyền hành, quyền lực, quyền chỉ huy
+) sự điều khiển, sự lái, sự cầm lái
+) sự kiềm chế, sự nén lại
+) sự kiểm tra, sự kiểm soát, sự thử lại; tiêu chuẩn so sánh (bằng thí nghiệm để xác định đúng sai)
+) trạm kiểm tra (máy móc,  ôtô, máy bay trên đường đi)",control
design,"
+) the act of working out the form of something (as by making a sketch or outline or plan)
+) an arrangement scheme
+) something intended as a guide for making something else","v, n","
+) he contributed to the design of a new instrument
+) the awkward design of the keyboard made operation difficult
+) it was an excellent design for living","+) đề cương, bản phác thảo, phác hoạ, đồ án
+) ý muốn, ý định, dự định, dự kiến, mục đích; ý đồ, mưu đồ
+) kế hoạch
+) cách sắp xếp, cách trình bày, cách trang trí
+) kiểu, mẫu, loại, dạng",design
modern,"
+) a contemporary person
+) a typeface (based on an 18th century design by Gianbattista Bodoni) distinguished by regular shape and hairline serifs and heavy downstrokes
+) belonging to the modern era; since the Middle Ages","s, n, a","
+) modern art
+) modern furniture
+) modern history","+) hiện đại
+) cận đại
+) người cận đại, người hiện đại
+) người ưa thích cái mới, người có quan điểm mới
+) mới, hiện đại",modern
