word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
str,,,,,0,+) (Strait) eo biển
hay,"
+) grass mowed and cured for use as fodder","v, n","
+) ",hay,0,"+) cỏ khô (cho súc vật ăn)
+) (từ Mỹ,nghĩa Mỹ),  (từ lóng) đi nằm, đi ngủ
+) (xem) needle"
cua,,,,,0,+) giao diện CUA (một tiêu chuẩn về giao diện cho các chương trình ứng dụng)
mot,"
+) a clever remark",n,"
+) ",bon_mot,0,+) lời nói dí dỏm
ting,"
+) a light clear metallic sound as of a small bell","v, n","
+) ",ting,0,"+) tiếng leng keng
+) kêu leng keng"
qua,,,,,0,"+) như, với tư cách là"
rac,,,,,0,+) vt của Royal Automobile Club: Câu lạc bộ ô tô hoàng gia
byte,"
+) a sequence of 8 bits (enough to represent one character of alphanumeric data) processed as a single unit of information",n,"
+) ",byte,0,+) (Tech) bai (8 bit)
log,"
+) a segment of the trunk of a tree when stripped of branches","v, n","
+) they kept a log of all transmission by the radio station
+) an email log",log,0,"+) khúc gỗ mới đốn, khúc gỗ mới xẻ
+) (hàng hải) máy đo tốc độ (tàu)
+) (như) log-book"
rang,"
+) sound loudly and sonorously",v,"
+) the bells rang
+) the hall resounded with laughter
+) Ring the bells",ring,0,"+) cái nhẫn
+) cái đai (thùng...)
+) vòng tròn"
con,"
+) an argument opposed to a proposal","v, r, n","
+) He swindled me out of my inheritance
+) She defrauded the customers who trusted her
+) the cashier gypped me when he gave me too little change",con,0,"+) học thuộc lòng, nghiên cứu, nghiền ngẫm
+) điều khiển, lái (con tàu) ((cũng) conn)
+) con game trò chơi bội tín, sự lừa gạt"
lap,"
+) the upper side of the thighs of a seated person","v, n","
+) he picked up the little girl and plopped her down in his lap
+) the job fell right in my lap
+) his lap was covered with food stains",lap,0,"+) vạt áo, vạt váy
+) lòng
+) dái tai"
sang,"
+) North American woodland herb similar to and used as substitute for the Chinese ginseng","v, n","
+) Sing Christmas carols
+) She was singing while she was cooking
+) My brother sings very well",American_ginseng,0,"+) hát, ca hát
+) ca ngợi
+) hát, hót"
bat,"
+) nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate","v, n","
+) he was at bat when it happened
+) he got four hits in four at-bats
+) a cricket bat has a narrow handle and a broad flat end for hitting",bat,0,"+) (thể dục,thể thao) gây (đánh bóng chày,  crikê); (từ cổ,nghĩa cổ) vợt (quần vợt)
+) vận động viên bóng chày, vận động viên crikê ((cũng) bat sman)
+) (từ lóng) cú đánh bất ngờ"
tao,"
+) an adherent of any branch of Taoism",n,"
+) ",Taoist,0,"+) (triết học) Đạo (trong chủ thuyết của Lão Tử)
+) (triết học) Đạo (trong chủ thuyết của Lão Tử)"
hon,,,,,0,"+) ngài, tướng công (tiếng tôn xưng đối với các tước công trở xuống, các nhân vật cao cấp ở Mỹ, các đại biểu hạ nghị viện Anh trong các cuộc họp...) vt của honourable"
sir,"
+) term of address for a man",n,"
+) ",sir,0,"+) (tiếng tôn xưng) thưa ông, thưa ngài, thưa tiên sinh; (quân sự) thưa thủ trưởng
+) ngài, đức (đặt trước tên một công tước hay hầu tước, thường là trước tên thánh)
+) gọi bằng ông, gọi bằng ngài, gọi bằng tiên sinh"
ham,"
+) meat cut from the thigh of a hog (usually smoked)","v, n","
+) ",ham,0,"+) (sử học) tỉnh, thành phố
+) làng"
tri,,,,,0,"+) hình thái ghép
+) ba
+) tripartite"
cap,"
+) a tight-fitting headdress","v, n","
+) he put a ceiling on the number of women who worked for him
+) there was a roof on salaries
+) they established a cap for prices",cap,0,"+) mũ lưỡi trai, mũ vải (y tá cấp dưỡng...); mũ (công nhân, giáo sư, quan toà, lính thuỷ...)
+) nắp, mũ (chai, van, bút máy...); đầu (đạn...); tai (nấm...)
+) mỏm, chỏm, chóp, đỉnh"
tot,"
+) a small amount (especially of a drink)","v, n","
+) a tot of rum
+) Add all the people in this town to those of the neighboring town",tot,0,"+) một chút, một chút xíu
+) trẻ nhỏ ((cũng) tinny tot)
+) (thông tục) hớp, ly nhỏ"
