word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
coding,"
+) act of writing in code or cipher","n, v","
+) Code the pieces with numbers so that you can identify them later
+) We should encode the message for security reasons
+) The immigrant was duped because he trusted everyone",cryptography,0,"+) (Tech) biên mã, mã hóa, định mã (d)
+) sự lập mã, sự mã hoá
+) alphabietic c. sự lập mã theo vần chữ cái"
don,"
+) a Spanish gentleman or nobleman","n, v","
+) Don Roberto
+) What should I wear today?
+) He put on his best suit for the wedding",Don,0,"+) Đông (tước hiệu Tây-ban-nha)
+) người quý tộc Tây-ban-nha; người Tây-ban-nha
+) người ưu tú, người lỗi lạc (về một cái gì)"
just,"
+) used especially of what is legally or ethically right or proper or fitting; - A.Lincoln","s, r, a","
+) a just and lasting peace
+) a kind and just man
+) a just reward",just,0,"+) công bằng
+) xứng đáng, đích đáng, thích đáng
+) chính đáng, chính nghĩa, hợp lẽ phải"
sliding,"
+) move obliquely or sideways, usually in an uncontrolled manner","s, v","
+) the wheels skidded against the sidewalk
+) They slid through the wicket in the big gate
+) He slid the money over to the other gambler",skid,0,"+) sự trượt
+) dễ trượtslide /slaid/
+) sự trượt"
longest,"
+) primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified","s, r, a","
+) a long life
+) a long boring speech
+) a long time",long,0,"+) dài nhấtlong /lɔɳ/
+) dài (không gian, thời gian); xa, lâu
+) kéo dài"
decode,"
+) convert code into ordinary language",v,"
+) ",decode,0,"+) đọc (mật mã), giải (mã)
+) (Tech) giải mã
+) đọc mật mã, giải mã"
until,,,,,0,"+) cho đến, cho đến khi
+) cho đến, đến khi"
cumulative,"
+) increasing by successive addition",s,"
+) the benefits are cumulative
+) the eventual accumulative effect of these substances",accumulative,0,"+) luỹ tích, dồn lại, chồng chất mãi lên
+) (Tech) tích lũy, chồng chất
+) tích luỹ, được tích luỹ"
merge,"
+) become one",v,"
+) Germany unified officially in 1990
+) the cells merge
+) The colors blend well",unify,0,"+) hoà vào; hoà hợp, kết hợp, hợp nhất
+) hợp vào, lẫn vào"
format,"
+) the organization of information according to preset specifications (usually for computer processing)","n, v","
+) Format this letter so it can be printed out
+) Please format this disk before entering data!",format,0,"+) khổ (sách, giấy, bìa...)
+) (Tech) khuôn dạng, dạng thức, hình thức; định khuôn dạng (đ)"
inversely,"
+) in an inverse or contrary manner; ; - F.A.Geldard",r,"
+) inversely related
+) wavelength and frequency are, of course, related reciprocally",inversely,0,"+) ngược lại, nghịch đảo
+) ngược lại, nghịch đảo"
above,"
+) an earlier section of a written text","n, s, r","
+) for instructions refer to the above
+) flaws in the above interpretation
+) see above",above,0,"+) trên đầu, trên đỉnh đầu
+) ở trên
+) trên thiên đường"
logy,"
+) stunned or confused and slow to react (as from blows or drunkenness or exhaustion)",s,"
+) ",dazed,0,+) lờ phờ
leaves,"
+) the main organ of photosynthesis and transpiration in higher plants","n, v","
+) a ten day's leave to visit his mother
+) she was granted leave to speak
+) he disliked long farewells",leaf,0,"+) lá cây; lá (vàng, bạc...)
+) tờ (giấy)
+) tấm đôi (tấm ván ở mặt bàn có thể bỏ đi hoặc lắp vào chỗ cho bàn to thêm)"
infinite,"
+) the unlimited expanse in which everything is located","n, s, a","
+) they tested his ability to locate objects in space
+) the boundless regions of the infinite
+) the infinite ingenuity of man",space,0,"+) không bờ bến, vô tận; vô vàn (infinite danh từ số nhiều) không đếm được, hằng hà sa số
+) (toán học) vô hạn
+) cái không có bờ bến"
universal,"
+) (linguistics) a grammatical rule (or other linguistic feature) that is found in all languages","n, s","
+) some form of religion seems to be a human universal
+) in motor vehicles a universal joint allows the driveshaft to move up and down as the vehicle passes over bumps
+) an issue of cosmopolitan import",universal,0,"+) thuộc vũ trụ, thuộc thế giới, thuộc vạn vật
+) toàn bộ, toàn thể, tất cả, chung, phổ thông, phổ biến; vạn năng
+) phổ dụng"
arithmetic,"
+) the branch of pure mathematics dealing with the theory of numerical calculations","n, a","
+) arithmetical computations",arithmetic,0,"+) số học
+) sự tính
+) sách số học"
shrink,"
+) a physician who specializes in psychiatry","n, v","
+) The fruit dried and shriveled
+) she flinched when they showed the slaughtering of the calf
+) Hot water will shrink the sweater",psychiatrist,0,"+) co lại, rút lại, ngắn lại; co vào, rút vào
+) lùi lại, lùi bước, chùn lại
+) làm co (vải...)"
algorithm,"
+) a precise rule (or set of rules) specifying how to solve some problem",n,"
+) ",algorithm,0,"+) thuật toán
+) (Tech) thuật toán, giải thuật"
conversely,"
+) with the terms of the relation reversed",r,"
+) conversely, not all women are mothers",conversely,0,"+) ngược lại
+) một cách ngược lại, đảo lại"
peel,"
+) British politician (1788-1850)","n, v","
+) pare apples
+) The paint in my house is peeling off
+) please don't undress in front of everybody!",Peel,0,"+) (sử học) tháp vuông (ở Ê-cốt)
+) xẻng (để xúc bánh vào lò)
+) cá đù"
longer,"
+) a person with a strong desire for something","n, s, r, a","
+) a longer for money
+) a thirster after blood
+) a yearner for knowledge",longer,0,"+) nữa, hơn nữa, lâu hơn nữa
+) dài hơn, lâu hơnlong /lɔɳ/
+) dài (không gian, thời gian); xa, lâu"
know,"
+) the fact of being aware of information that is known to few people","n, v","
+) he is always in the know
+) I know that the President lied to the people
+) I want to know who is winning the game!",know,0,"+) biết; hiểu biết
+) biết, nhận biết; phân biệt được
+) biết, quen biết"
ped,,,,,0,+) cái giỏ
pele,,,,,0,+) tháp tường dày
differ,"
+) be different",v,"
+) These two tests differ in only one respect
+) I beg to differ!
+) She disagrees with her husband on many questions",differ,0,"+) ((thường) + from) khác, không giống
+) không đồng ý, không tán thành, bất đồng
+) khác với, phân biệt với"
descending,"
+) move downward and lower, but not necessarily all the way","v, a","
+) The temperature is going down
+) The barometer is falling
+) The curtain fell on the diva",descend,0,"+) đi xuốngdescend /di'send/
+) xuống (cầu thang...)
+) xuống, dốc xuống, rơi xuống, lăn xuống, đi xuống, tụt xuống..."
remains,"
+) any object that is left unused or still extant","n, v","
+) I threw out the remains of my dinner
+) the cadaver was intended for dissection
+) the end of the police search was the discovery of a corpse",remains,0,"+) đồ thừa, cái còn lại
+) phế tích, tàn tích (những toà nhà  cổ xưa còn lại đã bị phá hủy)
+) di cảo (của một tác giả)"
dummy,"
+) a person who does not talk","n, s, v","
+) dummy up the books that are to be published
+) a dummy corporation",dummy,0,"+) người nộm, người rơm, người bung xung, bù nhìn
+) người giả (hình người giả mặc quần áo, ở các tiệm may); hình nhân làm đích (tập bắn)
+) vật giả (cửa giả, gáy sách giả, gói giả...)"
node,"
+) a connecting point at which several lines come together",n,"
+) ",node,0,"+) (thực vật học) mấu, đốt, mắt
+) (y học) cục u, bướu cứng
+) (toán học); (vật lý) giao điểm; nút"
assign,"
+) give an assignment to (a person) to a post, or assign a task to (a person)",v,"
+) We were assigned new uniforms
+) We attributed this quotation to Shakespeare
+) People impute great cleverness to cats",delegate,0,"+) (pháp lý) người được quyền thừa hưởng (tài sản, quyền lợi)
+) phân (việc...), phân công
+) ấn định, định"
infrequent,"
+) not frequent; not occurring regularly or at short intervals",a,"
+) infrequent outbursts of temper",infrequent,0,"+) ít xảy ra, hiếm khi xảy ra, không thường xuyên"
extension,"
+) a mutually agreed delay in the date set for the completion of a job or payment of a debt",n,"
+) they applied for an extension of the loan
+) extension of the program to all in need
+) most applications provide extensions for the files they create",extension,0,"+) sự duỗi thẳng ra; sự đưa ra
+) sự kéo dài ra, sự gia hạn; sự mở rộng
+) phần kéo dài, phần mở rộng, phần nối thêm (vào nhà, vào dây nói...)"
adaptive,"
+) having a capacity for adaptation",a,"
+) the adaptive coloring of a chameleon",adaptive,0,+) (Tech) mang tính thích nghi
asymptotically,"
+) toward an asymptote",r,"
+) it grew asymptotically",asymptotically,0,"+) xem asymptote
+) một cách tiệm cận"
stored,"
+) keep or lay aside for future use",v,"
+) store grain for the winter
+) The bear stores fat for the period of hibernation when he doesn't eat
+) where should we stow the vegetables?",store,0,"+) được tích trữ; bảo quảnstore /stɔ:/
+) sự có nhiều, sự dồi dào
+) dự trữ"
