word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
cont,,,,,0,"+) &amp;lt;vt&amp;gt; nội dung
+) &amp;lt;vt&amp;gt; tiếp theo"
doubling,"
+) increase by a factor of two","n, v","
+) doubling with a computer took no time at all
+) I decided his double was a bluff
+) The population doubled within 50 years",doubling,0,"+) sự gấp đôi, sự tăng đôi, sự nhân đôi
+) sự trùng lặp
+) (kỹ thuật); (nghành dệt) sự chặp đôi, sự xoắn chặp đôi"
gambling,"
+) the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)","n, v","
+) his gambling cost him a fortune
+) there was heavy play at the blackjack table
+) When you buy these stocks you are gambling",gambling,0,"+) trò cờ bạcgamble /'gæmbl/
+) cuộc đánh bạc, cuộc may rủi
+) việc mạo hiểm được ăn cả ngã về không; việc làm liều mưu đồ ăn to (đầu cơ buôn bán...)"
his,,,,,0,"+) của nó, của hắn, của ông ấy, của anh ấy
+) cái của nó, cái của hắn, cái của ông ấy, cái của anh ấy"
optimum,"
+) most favorable conditions or greatest degree or amount possible under given circumstances","n, s","
+) an optimum return on capital
+) optimal concentration of a drug",optimum,0,"+) điều kiện tốt nhất, điều kiện thuận lợi nhất (cho sự sinh trưởng của cây...)
+) tối ưu"
logo,"
+) a company emblem or device",n,"
+) ",logo,0,+) biểu trưng
bookie,"
+) a gambler who accepts and pays off bets (especially on horse races)",n,"
+) ",bookmaker,0,"+) maker)
+) người đánh cá ngựa thuê chuyên nghiệp (chuyên nhận tiền của người khác để đánh thuê)"
over,"
+) (cricket) the division of play during which six balls are bowled at the batsman by one player from the other team from the same end of the pitch","n, r, s","
+) the harvesting was complete
+) the affair is over, ended, finished
+) the abruptly terminated interview",over,0,"+) trên; ở trên
+) trên khắp, ở khắp
+) hơn, trên"
stochastic,"
+) being or having a random variable",s,"
+) a stochastic variable
+) stochastic processes",stochastic,0,"+) (Econ) Tính ngẫu nhiên thống kê.
+) Tuân theo biến thiên ngẫu nhiên (có thể phân tích về mặt thống kê nhưng không thể dự báo chính xác được)."
odds,"
+) the likelihood of a thing occurring rather than not occurring",n,"
+) he offered odds of two to one",odds,0,"+) sự chênh lệch; sự so le
+) sự khác nhau
+) sự xung đột, sự bất hoà"
betting,"
+) maintain with or as if with a bet","s, v","
+) I bet she will be there!
+) I bet $100 on that new horse
+) She played all her money on the dark horse",bet,0,"+) sự đánh cuộcbet /bet/
+) sự đánh cuộc
+) tiền đánh cuộc"
portfolio,"
+) a large, flat, thin case for carrying loose papers or drawings or maps; usually leather",n,"
+) he remembered her because she was carrying a large portfolio
+) the artist had put together a portfolio of his work
+) every actor has a portfolio of photographs",portfolio,0,"+) cặp (giấy tờ, hồ sơ)
+) danh sách vốn đầu tư (của một công ty, một nhà ngân hàng)
+) (nghĩa bóng) chức vị bộ trưởng"
distance,"
+) the property created by the space between two objects or points","n, v","
+) I could see it in the distance
+) the distance from New York to Chicago
+) he determined the length of the shortest line segment joining the two points",distance,0,"+) khoảng cách, tầm xa
+) khoảng (thời gian)
+) quãng đường; (thể dục,thể thao) quãng đường chạy đua (dài 240 iat)"
fair,"
+) a traveling show; having sideshows and rides and games of skill etc.","n, s, v, r, a","
+) world fair
+) trade fair
+) book fair",carnival,0,"+) hội chợ, chợ phiên
+) (xem) day
+) hội chợ phù hoa"
proportional,"
+) one of the quantities in a mathematical proportion","n, s","
+) the punishment ought to be proportional to the crime
+) earnings relative to production",proportional,0,"+) cân xứng, cân đối
+) tỷ lệ
+) chế độ bầu đại biểu của tỷ lệ"
proportion,"
+) the quotient obtained when the magnitude of a part is divided by the magnitude of the whole","n, v","
+) a building of vast proportions
+) an inordinate proportion of the book is given over to quotations
+) a dry martini has a large proportion of gin",proportion,0,"+) sự cân xứng, sự cân đối
+) tỷ lệ
+) (toán học) tỷ lệ thức"
likely,"
+) has a good chance of being the case or of coming about","r, s, a","
+) these services are likely to be available to us all before long
+) she is likely to forget
+) a likely place for a restaurant",likely,0,"+) chắc đúng, có lẽ đúng, có lẽ thật
+) có thể
+) thích hợp, đúng với"
unconditional,"
+) not conditional","s, a","
+) unconditional surrender
+) a categorical denial
+) a flat refusal",unconditional,0,"+) không điều kiện
+) dứt khoát, quả quyết
+) vô điều kiện, tuyệt đối"
far,"
+) a terrorist organization that seeks to overthrow the government dominated by Tutsi and to institute Hutu control again","n, r, s, a","
+) in 1999 ALIR guerrillas kidnapped and killed eight foreign tourists
+) we come from a far country
+) far corners of the earth",Army_for_the_Liberation_of_Rwanda,0,"+) xa, xa xôi, xa xăm
+) (xem) cry
+) xa"
language,"
+) a systematic means of communicating by the use of sounds or conventional symbols",n,"
+) he taught foreign languages
+) the language introduced is standard throughout the text
+) the speed with which a program can be executed depends on the language in which it is written",language,0,"+) tiếng, ngôn ngữ
+) lời nói
+) cách diễn đạt, cách ăn nói"
here,"
+) the present location; this place","n, r, s","
+) where do we go from here?
+) is everyone here?
+) I work here",here,0,"+) đây, ở đây, ở chỗ này
+) đây cái anh đang cần đây; đây đúng là điều anh muốn biết đây
+) xin chúc sức khoẻ anh (thường nói khi chúc rượu)"
