word,meaning,part_of_speech,examples,phonetic,meaning_vi
temperament,your usual mood,n,he has a happy disposition,disposition,"
+) khí chất, tính khí, tính"
were,"have the quality of being; (copula, used with an adjective or a predicate noun)",v,"John is rich
This is not a good answer",be,"
+) thì, là
+) có, tồn tại, ở, sống
+) trở nên, trở thành
+) xy ra, diễn ra
+) giá
+) be to phi, định, sẽ
+) (+ động tính từ hiện tại) đang
+) (+ động tính từ quá khứ) bị, được
+) đ  đi, đ  đến
+) chống lại
+) tán thành, đứng về phíabe /bi:/
+) thì, là
+) có, tồn tại, ở, sống
+) trở nên, trở thành
+) xảy ra, diễn ra
+) giá
+) be to phải, định, sẽ
+) (+ động tính từ hiện tại) đang
+) (+ động tính từ quá khứ) bị, được
+) đã đi, đã đến
+) chống lại
+) tán thành, đứng về phía"
piu,,,,,"
+) (âm nhạc) hơn
+) piu lento
+) chậm hơn"
spent,pass time in a specific way,v,how are you spending your summer vacation?,spend,"
+) mệt lử, kiệt sức, hết nghị lực; hết đà (viên đạn, mũi tên...)
+) tàn lụi
+) được dùngspend /spend/
+) tiêu, tiêu pha
+) dùng (thì giờ...), tốn
+) qua, sống qua
+) làm dịu đi, làm nguôi đi, làm hết đà; làm hết, làm kiệt, tiêu phí
+) (hàng hải) gãy; mất (cột buồm)
+) tiêu pha, tiêu tiền
+) tàn, hết
+) đẻ trứng (cá)
+) (thông tục) đi đái; đi ỉa
+) tiêu (dùng)"
correlation,a reciprocal relation between two or more things,n,,correlation,"
+) sự tương quan
+) thể tương liên
+) (Tech) tương quan; phép đối xạ
+) đs, (thống kê) sự tương quan; (hình học) phép đối xạ
+) c. in space phép đối xạ trong không gian
+) c. of indices tương quan của các chỉ số
+) antithetic(al) c. tương quan âm
+) biserial c. tương quan hai chuỗi
+) canonical c. tương quan chính tắc
+) circular c. tương quan vòng
+) direct c. tương quan dương
+) grade c. tương quan hạng
+) illusory c. tương quan ảo tưởng
+) intraclass c. tương quan trong lớp
+) inverse c. tương quan âm
+) involitory c. (hình học) phép đối xạ đối hợp
+) lag c. tương quan trễ
+) linear c. tương quan tuyến tính
+) multiple curvilinear c. tương quan bội phi tuyến tính
+) multiple noraml c. tương quan bội chuẩn tắc
+) nonlinear c. tương quan không tuyến tính
+) nonsense c. tương quan [không thật, giả tạo]
+) non-singular c. (hình học) phép đối xạ không kỳ dị
+) partical c. tương quan riêng
+) perfect c. tương quan hoàn toàn
+) product moment c. tương quan mômen tích
+) rank c. tương quan hạng
+) singular c. (hình học) phép đối xạ kỳ dị
+) spurious c. tương quan [không thật, giả tạo]
+) total c. tương quan toàn phần
+) true c. tương quan thật
+) vector c. tương quan vectơ"
irritable,easily irritated or annoyed,s,"an incorrigibly fractious young man
not the least nettlesome of his countrymen",cranky,"
+) dễ cáu; cáu kỉnh
+) (sinh vật học); (y học) dễ bị kích thích, dễ cảm ứng"
applied,put into service; make work or employ for a particular purpose or for its inherent or natural purpose,v,"use your head!
we only use Spanish at home
I can't use this tool",use,"
+) ứng dụng
+) được ứng dụngapply /ə'plai/
+) gắn vào, áp vào, ghép vào, đính vào, đắp vào, tra vào
+) dùng ứng dụng, dùng áp dụng
+) chăm chú, chuyên tâm
+) xin, thỉnh cầu
+) có thể áp dụng vào, thích ứng với, hợp với
+) apply to,  at hỏi
+) ứng dụng"
during,,,,,"
+) trải qua, trong lúc, trong thời gian
+) trong khi lúc"
trained,create by training and teaching,v,"The old master is training world-class violinists
we develop the leaders for the future",train,"
+) lành nghề; có tay nghề
+) được huấn luyệntrain /trein/
+) xe lửa
+) đoàn; đoàn tuỳ tùng
+) dòng, dãy, chuỗi, hạt
+) đuôi dài lê thê (của áo đàn bà); đuôi (chim)
+) hậu quả
+) (kỹ thuật) bộ truyền động
+) ngòi (để châm mìn)
+) sẵn sàng
+) dạy, dạy dỗ, rèn luyện, huấn luyện; đào tạo
+) (thể dục,thể thao) tập dượt
+) uốn (cây cảnh)
+) chĩa (súng)
+) (thông tục) đi xe lửa
+) tập luyện tập dượt
+) (thông tục) đi xe lửa
+) tập cho người thon bớt đi
+) bắn chệch, ngắm chệch (súng)"
pornography,creative activity (writing or pictures or films etc.) of no literary or artistic value other than to stimulate sexual desire,n,,pornography,"
+) văn khiêu dâm; sách báo khiêu dâm"
