word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
sic,"
+) urge to attack someone","v, r","
+) The owner sicked his dogs on the intruders
+) the shaman sics sorcerers on the evil spirits",sic,0,+) đúng như nguyên văn ((thường) viết trong ngoặc đơn bên một câu trích dẫn tuy có chứa đựng sai sót hoặc vô lý nhưng vẫn được sao đúng nguyên văn)
more,"
+) English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state","a, n, r","
+) more land
+) more support
+) more rain fell",More,0,"+) nhiều hơn, lớn hơn, đông hơn
+) hơn nữa, thêm nữa, thêm nữa
+) hơn, nhiều hơn"
representation,"
+) a presentation to the mind in the form of an idea or image",n,"
+) a Congressional vacancy occurred in the representation from California
+) the sales contract contains several representations by the vendor
+) certain representations were made concerning police brutality",representation,0,"+) sự tiêu biểu, sự tượng trưng
+) sự đại diện; sự thay mặt; những người đại diện
+) sự miêu tả, sự hình dung"
mutual,"
+) common to or shared by two or more parties","s, a","
+) a common friend
+) the mutual interests of management and labor
+) reciprocal aid",common,0,"+) lẫn nhau, qua lại
+) chung
+) tương hỗ"
communicating,"
+) the activity of communicating; the activity of conveying information","v, n","
+) they could not act without official communication from Moscow
+) Please communicate this message to all employees
+) pass along the good news",communication,0,"+) (Tech) truyền thông, truyền tin, thông tin, thông tíncommunicate /kə'mju:nikeit/
+) truyền; truyền đạt, thông tri
+) (tôn giáo) ban thánh thể (cho ai)"
dice,"
+) a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers","v, n","
+) cube the cheese",die,0,"+) số nhiều của die
+) trò chơi súc sắc
+) đánh súc sắc thua sạch"
provided,"
+) give something useful or necessary to",v,"
+) We provided the room with an electrical heater
+) The hostess provided lunch for all the guests
+) The will provides that each child should receive half of the money",supply,0,"+) được chuẩn bị đầy đủ, được dự phòng
+) được cung cấp, được chu cấp
+) trường tiểu học công do chính quyền địa phương đài thọ"
represented,"
+) take the place of or be parallel or equivalent to","a, v","
+) Because of the sound changes in the course of history, an 'h' in Greek stands for an 's' in Latin
+) What does the Statue of Liberty symbolize?
+) This period is represented by Beethoven",represent,0,"+) được biểu diễnrepresent /,repri'zent/
+) tiêu biểu cho, tượng trưng cho; tương ứng với
+) thay mặt, đại diện"
learned,"
+) gain knowledge or skills","s, a, v","
+) She learned dancing from her sister
+) I learned Sanskrit
+) Children acquire language at an amazing rate",learn,0,"+) hay chữ, có học thức, thông thái, uyên bác
+) của các nhà học giả; đòi hỏi học vấn
+) học, học tập, nghiên cứu"
quantification,"
+) a limitation imposed on the variables of a proposition (as by the quantifiers `some' or `all' or `no')",n,"
+) ",quantification,0,"+) sự xác định số lượng (của cái gì)
+) (logic học) lượng hoá"
uncertainty,"
+) being unsettled or in doubt or dependent on chance",n,"
+) the uncertainty of the outcome
+) the precariousness of his income",uncertainty,0,"+) sự không chắc chắn
+) điều không chắc chắn; điều không rõ; điều không xác thực
+) tính dễ đổi, tính dễ biến"
numerical,"
+) measured or expressed in numbers","s, a","
+) numerical value
+) the numerical superiority of the enemy
+) a numeral adjective",numeric,0,"+) (thuộc) số
+) bằng s
+) (bằng) số, số trị"
its,"
+) the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information",n,"
+) ",information_technology,0,"+) của cái đó, của điều đó, của con vật đó
+) cái của điều đó, cái của con vật đó"
most,"
+) (superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number","a, r","
+) who has the most apples?
+) most people like eggs
+) most fishes have fins",most,0,"+) lớn nhất, nhiều nhất
+) hầu hết, phần lớn, đa số
+) (xem) part"
utterance,"
+) the use of uttered sounds for auditory communication",n,"
+) ",utterance,0,"+) sự phát biểu, sự bày tỏ
+) cách nói
+) (số nhiều) lời; lời phát biểu"
