word,meaning,part_of_speech,examples,meaning_vi,phonetic,count
adj,,,,"+) (viết tắt adjective) phụ vào, thêm vào, lệ thuộc, không đứng một mình
+) (ngông ngữ) có tính chất tính từ, (thuộc) tính từ",,0.0
prep,"
+) preparatory school work done outside school (especially at home)",n,"
+) ","+) (ngôn ngữ nhà trường),  (từ lóng) sự soạn bài; bài soạn
+) trường dự bị",homework,1.0
det,,,,+) (vt của detective) thám tử,,1.0
number,"
+) the property possessed by a sum or total or indefinite quantity of units or individuals","n, v","
+) he had a number of chores to do
+) the number of parameters is small
+) the figure was about a thousand","+) số
+) đám, bọn, nhóm, toán
+) sự đếm số lượng",number,1.0
oxford,"
+) a city in southern England to the northwest of London; site of Oxford University",n,"
+) ",+) giây thấp buộc dây ở cổ chân,Oxford,0.0
level,"
+) a position on a scale of intensity or amount or quality","s, n, v","
+) a moderate grade of intelligence
+) a high level of care is required
+) it is all a matter of degree","+) ống bọt nước, ống thuỷ
+) mức, mực; mặt
+) (nghĩa bóng) trình độ, vị trí, cấp, mức ngang nhau",degree,0.0
modal,"
+) an auxiliary verb (such as `can' or `will') that is used to express modality","a, n, s","
+) the modal age at which American novelists reach their peak is 30
+) modal auxiliary","+) (thuộc) cách thức, (thuộc) phương thức
+) (ngôn ngữ học) (thuộc) lối
+) (âm nhạc) (thuộc) điệu",modal_auxiliary_verb,0.0
university,"
+) the body of faculty and students at a university",n,"
+) ","+) trường đại học
+) tập thể (của một) trường đại học
+) đội đại học (đội thể thao của một trường đại học)",university,0.0
press,"
+) the state of demanding notice or attention","n, v","
+) the insistence of their hunger
+) the press of business matters
+) he gave the button a press","+) sự ép, sự nén, sự bóp, sự ấn
+) sự đông đúc, sự chen chúc; đám đông chen chúc, đám đông xô lấn
+) sự thúc ép, sự hối hả, sự tất bật",imperativeness,0.0
next,"
+) immediately following in time or order","s, r","
+) the following day
+) next in line
+) the next president","+) sát, gần, ngay bên, bên cạnh
+) sau, ngay sau, tiếp sau
+) hầu như không",following,1.0
time,"
+) an instance or single occasion for some event","n, v","
+) this time he succeeded
+) he called four times
+) he could do ten at a clip","+) thời gian, thì giờ
+) thời, thời buổi, mùa
+) dịp, cơ hội, thời cơ",time,0.0
close,"
+) the temporal end; the concluding time","v, n, a, r, s","
+) the stopping point of each round was signaled by a bell
+) the market was up at the finish
+) they were playing better at the close of the season","+) đóng kín
+) chật, chật chội; kín, bí hơi, ngột ngạt
+) chặt, bền, sít, khít",stopping_point,0.0
first,"
+) the first or highest in an ordering or series","a, n, s, r","
+) He wanted to be the first
+) the first of the month
+) they got an early start","+) thứ nhất
+) đầu tiên; quan trọng nhất; cơ bản
+) trực tiếp",first,0.0
final,"
+) the final match between the winners of all previous matches in an elimination tournament","n, s","
+) his concluding words came as a surprise
+) the final chapter
+) the last days of the dinosaurs","+) cuối cùng
+) quyết định, dứt khoát, không thay đổi được nữa
+) (triết học); (ngôn ngữ học) (thuộc) mục đích",final,0.0
ast,,,,+) giờ tiêu chuẩn của vùng Đại Tây Dương ((Atlantic Standard Time)),,0.0
sleep,"
+) a natural and periodic state of rest during which consciousness of the world is suspended","n, v","
+) he didn't get enough sleep last night
+) calm as a child in dreamless slumber
+) he felt better after a little sleep","+) giấc ngủ; sự ngủ
+) sự nghỉ ngơi, sự tĩnh dưỡng
+) sự chết",sleep,0.0
term,"
+) a word or expression used for some particular thing","n, v","
+) he learned many medical terms
+) a prison term
+) he left school before the end of term","+) hạn, giới hạn, định hạn
+) thời hạn, kỳ hạn
+) phiên (toà), kỳ học, quý, khoá",term,0.0
