word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
hang,"
+) a special way of doing something","v, n","
+) he had a bent for it
+) he had a special knack for getting into trouble
+) he couldn't get the hang of it",bent,0,"+) sự cúi xuống, sự gục xuống
+) dốc, mặt dốc
+) cách treo (một vật gì)"
customer,"
+) someone who pays for goods or services",n,"
+) ",customer,0,"+) khách hàng
+) (thông tục) gã, anh chàng
+) (Tech) người thuê bao, người tiêu thụ, khách hàng"
trace,"
+) a just detectable amount","v, n","
+) he speaks French with a trace of an accent
+) there wasn't a trace of evidence for the claim
+) a tincture of condescension",trace,0,"+) dây kéo (buộc vào ngựa để kéo xe)
+) đang thắng cương (đen &amp;amp; bóng)
+) (xem) kick"
tir,,,,,0,+) vận tải đường bộ quốc tế (nhất là trên xe tải ở châu Âu)  (tiếng Pháp Transport International Routier)
den,"
+) the habitation of wild animals",n,"
+) ",lair,0,"+) hang (thú dữ); sào huyệt (của bọn cướp)
+) căn phòng nhỏ bẩn thỉu, nhà lụp xụp bẩn thỉu
+) (thông tục) phòng nhỏ riêng để làm việc"
van,"
+) any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)",n,"
+) ",avant-garde,0,"+) (quân sự) tiền đội, quân tiên phong
+) những người đi tiên phong, những người lãnh đạo (một phong trào); địa vị hàng đầu
+) xe hành lý, xe tải"
from,,,,,0,"+) từ
+) dựa vào, theo, do từ, xuất phát từ
+) khỏi, đừng; tách khỏi, rời xa, cách"
thong,"
+) leather strip that forms the flexible part of a whip",n,"
+) she wore thongs in her quest for the callipygian ideal",lash,0,"+) dây da
+) roi da
+) buộc bằng dây da"
cia,"
+) an independent agency of the United States government responsible for collecting and coordinating intelligence and counterintelligence activities abroad in the national interest; headed by the Director of Central Intelligence under the supervision of the President and National Security Council",n,"
+) ",Central_Intelligence_Agency,0,+) (vt của Central Intelligence Agency) Cơ quan tình báo trung ương của Hoa kỳ
this,,,,,0,"+) này
+) cái này, điều này, việc này
+) thế này"
document,"
+) writing that provides information (especially information of an official nature)","v, n","
+) The parents documented every step of their child's development
+) Can you document your claims?",document,0,"+) văn kiện; tài liệu, tư liệu
+) chứng minh bằng tư liệu; dẫn chứng bằng tư liệu
+) đưa ra tài liệu, cung cấp tư liệu"
nay,"
+) a negative","r, n","
+) the nays have it
+) each of us is peculiar, nay, in a sense unique",nay,0,"+) (từ cổ,nghĩa cổ) sự từ chối, sự cự tuyệt, sự trả lời không
+) (từ cổ,nghĩa cổ) không
+) không những thế; hơn thế, mà lại còn; nói cho đúng hơn"
automatically,"
+) in a reflex manner",r,"
+) he answered automatically
+) this door opens mechanically",automatically,0,+) tự động
system,"
+) instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity",n,"
+) he bought a new stereo system
+) the system consists of a motor and a small computer
+) a vast system of production and distribution and consumption keep the country going",system,0,"+) hệ thống; chế độ
+) phương pháp
+) (the system) cơ thể"
tung,"
+) Chinese tree bearing seeds that yield tung oil",n,"
+) ",tung_tree,0,+) xem tung-tree
dong,"
+) the basic unit of money in Vietnam","v, n","
+) ",dong,0,"+) (từ úc) nện; phang
+) đồng (Việt Nam)"
account,"
+) a record or narrative description of past events","v, n","
+) a history of France
+) he gave an inaccurate account of the plot to kill the president
+) the story of exposure to lead",history,0,"+) sự tính toán
+) sự kế toán; sổ sách, kế toán
+) bản kê khai; bản thanh toán tiền, bản ghi những món tiền phải trả"
ban,"
+) a decree that prohibits something","v, n","
+) Smoking is banned in this building",prohibition,0,"+) cấm, cấm chỉ
+) (từ cổ,nghĩa cổ) nguyền rủa"
bang,"
+) a vigorous blow","v, n, r","
+) the sudden knock floored him
+) he took a bash right in his face
+) he got a bang on the head",knock,0,"+) tóc cắt ngang trán
+) cắt (tóc) ngang trán
+) tiếng sập mạnh; tiếng nổ lớn"
vie,"
+) compete for something; engage in a contest; measure oneself against others",v,"
+) ",compete,0,+) ganh đua; thi đua
coca,"
+) a South American shrub whose leaves are chewed by natives of the Andes; a source of cocaine",n,"
+) ",Erythroxylon_coca,0,+) (thực vật học) cây côca
debit,"
+) an accounting entry acknowledging sums that are owing","v, n","
+) ",debit,0,"+) sự ghi nợ
+) món nợ khoản nợ
+) (kế toán) bên nợ"
statement,"
+) a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc",n,"
+) according to his statement he was in London on that day
+) it was a strong argument that his hypothesis was true
+) the initial statement of the sonata",statement,0,"+) sự bày tỏ, sự trình bày, sự phát biểu
+) lời tuyên bố; bản tuyên bố"
credit,"
+) approval","v, n","
+) give her recognition for trying
+) he was given credit for his work
+) give her credit for trying",recognition,0,"+) sự tin, lòng tin
+) danh tiếng; danh vọng, uy tín
+) nguồn vẻ vang; sự vẻ vang"
dang,,,,,0,+) dang it! quỷ tha ma bắt nó đi!
signature,"
+) your name written in your own handwriting",n,"
+) this room needs a woman's touch",signature,0,"+) chữ ký
+) (âm nhạc) chìa (khoá) ((thường) key signature)
+) (rađiô) (signature tune) điệu nhạc dạo đầu"
commercial,"
+) a commercially sponsored ad on radio or television","s, a, n","
+) commercial trucker
+) commercial TV
+) commercial diamonds",commercial,0,"+) (thuộc) buôn bán; (thuộc) thương mại; (thuộc) thương nghiệp
+) (từ Mỹ,nghĩa Mỹ) buổi phát thanh quảng cáo hàng
+) (thông tục) người chào hàng"
not,"
+) negation of a word or group of words",r,"
+) he does not speak French
+) she is not going
+) they are not friends",not,0,"+) không
+) hẳn là, chắc là
+) (xem) but"
nov,"
+) the month following October and preceding December",n,"
+) ",November,0,"+) tháng mười một (November)
+) viết tắt
+) tháng mười một (November)"
military,"
+) the military forces of a nation","a, n","
+) their military is the largest in the region
+) the military machine is the same one we faced in 1991 but now it is weaker
+) military law",military,0,"+) (thuộc) quân đội, (thuộc) quân sự
+) (thường) the military quân đội, bộ đội"
following,"
+) a group of followers or enthusiasts","s, v, a, n","
+) the culprit started to run and the cop took off in pursuit
+) The ducklings followed their mother around the pond
+) Please follow the guide through the museum",following,0,"+) sự theo, sự noi theo
+) số người theo, số người ủng hộ
+) (the following) những người sau đây, những thứ sau đây"
the,,,,,0,"+) cái, con, người...
+) ấy, này (người, cái, con...)
+) duy nhất (người, vật...)"
your,,,,,0,"+) của anh, của chị, của ngài, của mày; của các anh, của các chị, của các ngài, của chúng mày"
about,"
+) on the move","s, r","
+) up and about
+) the whole town was astir over the incident
+) lasted approximately an hour",about,0,"+) xung quanh, quanh quẩn, đây đó, rải rác
+) đằng sau
+) khoảng chừng, gần"
you,,,,,0,"+) anh, chị, ông, bà, ngài, ngươi, mày; các anh, các chị, các ông, các bà, các ngài, các người, chúng mày
+) ai, người ta"
inform,"
+) impart knowledge of some fact, state or affairs, or event to",v,"
+) I informed him of his rights
+) The principles that inform modern teaching
+) She had informed on her own parents for years",inform,0,"+) báo tin cho; cho biết
+) truyền cho (ai...) (tình cảm, đức tính...)
+) cung cấp tin tức"
like,"
+) a similar kind; ,","s, v, a, n","
+) dogs, foxes, and the like
+) we don't want the likes of you around here
+) We'll not see his like again",like,0,"+) giống, giống nhau, như nhau, tương tự, cùng loại
+) thực đúng, đúng như mong đợi
+) thích, sãn sàng, sãn lòng, vui lòng"
would,,,,,0,"+) ý chí, chí, ý định, lòng
+) sự hăng say; sự quyết chí, sự quyết tâm
+) nguyện vọng, ý muốn; ý thích"
xin,,,,,0,"+) như Hsin
+) như Hsin"
name,"
+) a language unit by which a person or thing is known","v, n","
+) his name really is George Washington
+) those are two names for the same thing
+) he wanted to protect his good name",name,0,"+) tên, danh
+) danh nghĩa
+) (chỉ số ít) tiếng, tiếng tăm, danh tiếng"
currency,"
+) the metal or paper medium of exchange that is presently used",n,"
+) the currency of ideas
+) the currency of a slang term",currency,0,"+) sự lưu hành; thời gian lưu hành ((thường) nói về tiền tệ)
+) tiền, tiền tệ
+) (nghĩa bóng) sự phổ biến, sự thịnh hành"
period,"
+) an amount of time",n,"
+) a time period of 30 years
+) hastened the period of time of his recovery
+) Picasso's blue period",time_period,0,"+) kỷ, kỳ, thời kỳ, giai đoạn, thời gian
+) thời đại, thời nay
+) tiết (học)"
fri,"
+) the sixth day of the week; the fifth working day",n,"
+) ",Friday,0,"+) thứ Sáu (Friday)
+) viết tắt
+) thứ Sáu (Friday)"
joint,"
+) (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)","s, v, a, n","
+) The boards fit neatly
+) the carpenter jointed two pieces of wood
+) a joint session of Congress",joint,0,"+) chỗ nối, mối nối, đầu nối
+) (giải phẫu) khớp (xương)
+) (thực vật học) mấu, đốt"
